query	alternative query	main passage	citation
亲子沟通的类型有哪些（一致型）	什么是一致型的亲子沟通？	"一致型家庭鼓励儿童对沟通的问题提出自己的见解和主张,但不能扰乱
家庭的等级和内部的和谐。方晓义等人以北京市和济南市两所中学名学
生为被试,探讨亲子沟通类型结果发现在亲子沟通的类型中,保护型亲子
沟通最多,其次为多元型亲子沟通,放任型和一致型亲子沟通最少。而且从
不同亲子沟通类型的特点看出,不同亲子沟通类型的青少年可能在社会适应
方面等表现出不同的特点。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
亲自沟通的功能是什么？	亲自沟通的功能有哪些？	"首先,亲子沟通是维持良好家庭的重要因素。家庭成员通过沟通来表达
亲密,来处理与适应有关的问题问题解决、家庭争论。亲子沟通是家庭
功能中的重要维度,是家庭成员间问题解决的重要途径而且对维护亲子关
系也非常重要。影响亲子关系的因素是多方面的,亲子沟通是重要的影响因
素之一。亲子沟通的不良,势必会影响亲子关系而亲子关系的不良,不仅
会引发父母与子女的矛盾,甚至使儿童、青少年社会化发展偏离社会发展的
轨道,而走向堕落、犯罪。
其次亲子沟通在青少年的发展中扮演着非常重要的角色。国内外研究己
经发现,亲子沟通对青少年的自尊、健康行为、性行为、应对行为等都有重
要的影响。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
青少年的人格特征有哪些		"青少年在人格发展方面,表现出三个特点,第一是伴随着生理的逐渐成
熟,产生了`触立感”和“成人感”。第二是开始关注“自我”,关心自己与他人
的内心世界。第三是开始了解、接纳和逐渐掌握更多的行为规范、价值标
准、社会角色,并对自己的未来角色进行定位和认同,喜欢独立探索和思考
一些问题。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
什么是家庭功能？	家庭功能的定义是什么？	"家庭功能是家庭系统中家庭成员之间情感联系、家庭规则、家庭沟通以
及应对外部事件的有效性。家庭成员通过沟通来表达亲密,也通过沟通来处
理与适应有关的问题如问题解决和家庭冲突等。积极的沟通技能如倾听、
同情、支持性言语等,能促进家庭成员在感情和信息等方面达成相互理解,
并增强家庭应付环境变化的能力消极的沟通方式,如模棱两可、双关语、
批评抱怨等,会降低家庭成员分享感情和信息的能力。家庭功能主要反映的
是家庭系统中的相互作用,它对亲子沟通是具有影响力的,其中,情感反应
对亲子沟通的影响最为显著家庭功能中的情感反应维度对父子沟通和母子
沟通都有影响,但总的家庭功能只对母子沟通产生影响。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
代沟的定义是什么	代沟是什么意思	"代沟是指两代人在思想、行为、价值观念等方面的差
异。"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
代沟为什么会存在		"在任何社会中,新老两代人由于年龄、经历、历史条件、看问题的角度
等有所不同,都必然会在心理活动和行为方式等方面表现出一定的差异。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
代沟的例子有哪些		"比如,在思想方面,老一代比较稳重,但有时也容易倾向于保守,年轻一代思
想开放,勇于创新,但却容易偏激在政治方面,上一代人不太赞成过多地
参与政治活动,而下一代则相反,有着较强的参与欲,希望有发表意见的机
会,上一代人对己有的成绩看得比较多,而年轻人则对社会弊端比较敏感
在思维方式上,年纪大的人喜欢纵比,思考问题时喜欢与自己的经历联系起
来,容易知足和怀旧,年轻人则喜欢横比,因而不易知足而常有追求在行
为方式上,上一代喜欢维持原有的行为方式,处事谨慎、冷静,悟守准则，而下一代喜欢冒险，行为变化快，讲效率，不拘泥于传统模式。"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
构建亲子沟通的前提有哪些？（父母态度）		"父母态度对青少年的成长和发展具有重要作用。态度是人们对某一现象
的稳定看法和情感体验,在现实生活中表现为人们对一定事物的习惯性反
应。亲子沟通中,父母大都处于主导地位,是引导者,其态度的好坏决定亲
子沟通的有效性。要想构建良好的亲子沟通,首先要做的是改变父母对孩子
的态度。正确态度可以使父母比较全面、深刻地认识和评价自己的孩子,从
而能够给予孩子正确的引导。不良的亲子沟通往往是由于父母对子女的异常
态度造成的。因为态度中包含明显的情感成分,这关系到双方在情感上满意
的程度和亲疏关系。如果孩子的行为表现与父母的态度不一致,给家长带来
不愉快、厌恶、讨厌等内心感受,这势必影响和谐亲子关系的形成,也不利
于青少年的健康成长。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
如何改变父母对孩子的态度	父母该如何改变自己对孩子的态度	"树立“三个人”的观念，即孩子是人,作为人,要民主、平等地对待他。我国政府早己签署了联合国的《儿童权利公约》,承认孩子生下来就是一个权利的主体,他们拥有生
存权、发展权、参与权和受爱护等四项基本的权利,与成年人是平等的,所
以作为现代父母,必须尊重儿童的权利,并善于与孩了商量同其有关的事
情。
"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
构建亲子沟通的前提有哪些？（父母情绪管理）		"生活中我们常常看到父母对孩子发脾气和带着怒气处理问题的现象,更有孩子不听话就打骂孩子的现象。这样不但对孩子的身体造成伤害,更重要的是心理上的伤害。因此当孩子出现不良表现时,父母不要由于情绪失控而发怒,造成亲子沟通不能顺利进行,这样达不到教育孩子的目的,所以父母的情绪管理是进行沟通的基础

"	"[1]胡悦. 亲子沟通与青少年健康成长[D].哈尔滨工程大学,2007."
青少年心理健康的特点有哪些	亲少年心理健康的特点是什么？	青少年阶段初中三年级和高中，面对中高考的压力，学业适应不良，学习压力较大，人际交往少，情绪波动比较大，心理健康水平较差。李育辉和张建（2007）研究显示，初三、高三学业压力大，心理健康水平较其他年级明显要差，异性关系方面高一时达到最高，高年级的学生对家庭变故、重大事件等的感受度高	"[1]王春惠. 初中生亲子冲突处理策略对心理健康的影响及干预研究[D].曲阜师范大学,2020."
性别会影响青少年心理健康吗？	男女生心理健康的差别有哪些？	"在抑郁、焦虑及心理不平衡方面存在显著的性别差异，女生在抑郁和焦虑水
平上比男生要高，而男生表现出更多的心理不平衡。男女性别除在抑郁、焦虑、
心理不平衡外不存在显著差异，说明男、女性别在心理健康的其他方面状况无显
著影响，这与崔哲和张建新（2005）的研究结果基本一致。女生在情感方面更加
细腻，更容易哭泣，表达伤感，责备自己，而男生志在四方。在社会化目标上的
差异，在思考问题上，女生会思考更多，烦躁不安，表现出更多的焦虑、抑郁情
绪；男生则更能感受到来自父母和老师对自己的不公平待遇，初中男生更能产生
对于别人成绩好而难过和不服气的想法，因此男生在心理不平衡方面的得分比女
生要高。但是，受到孩子少的影响，每家都注重孩子的教育和培养，过去重男轻
女的思想弱化，在现代教育和父母关心的影响下（Nadia，2010），性别对于心理
健康的影响微乎其微，从总体而言，心理健康不存在明显的性别差异。"	"[1]王春惠. 初中生亲子冲突处理策略对心理健康的影响及干预研究[D].曲阜师范大学,2020."
亲子信任的定义是什么？	什么是亲子信任？	"亲子信任是人际间信任关系的一种，是发 生在特殊领域的和私人关系间的特殊的信任。亲子双 方在日常生活中，能够体验到生活的持续性和惯常性， 并且能够从中获得基本的安全感、归属感和依赖感。 通过亲子信任，亲子双方能够对对方的态度和行为做 出一定的预期，同时亲子信任能够使双方产生一种稳 定的心理和情感认同。
"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
亲子信任对青少年的意义是什么？	亲子信任为什么重要？	"对于处于身心发展局部 平衡时期的青少年来讲，亲子间的信任感，满足了他们最基本的归属与爱的需要。 
"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
亲子信任危机的后果有哪些（焦虑心理）		"焦虑是人们经理的一种不愉快的情绪体验或者心 理状态，常伴以紧张和恐惧。马斯洛的需求层次理论 指出，个体有安全的需求和归属于爱的需求，安全的 需求指保障个体安全不受侵害，归属于爱的需求更多 指个体渴求亲密关系，渴求被群体接受得以依赖，当 需 求 无 法 满 足 时 ，个 体 便 会 出 现 焦 虑 。在 家 庭 中 ，青 少 年更多在亲子关系中寻求需求的满足。当亲子间信任 破坏，青少年的想法经常得不到父母的认可，在亲子交 流中常常被否定，感到父母无法理解自己内心的真实 想 法 ，又 无 法 准 确 表 达 自 己 目 的 ，常 常 陷 入 自 我 否 定 的 怪圈中，这直接影响到青少年归属与爱的需求满足， 进而导致青少年更多的焦虑感。由不信任感带来的闭 锁内心，降低了青少年对自己人际交往的自我效能感， 这种底自我效能感会辐射到青少年人际交往的各方 面 ，长 久 下 去 在 人 际 关 系 中 怀 疑 自 己 ，担 心 人 际 关 系 的 破裂，产生更多的人际压力，加重内心的焦虑。 
"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
亲子信任危机的后果有哪些（挫折心理）		"由于亲子间信任的下降，亲子矛盾、亲自冲突随之愈演愈烈，青春期的孩子又处在建立自我同一性的关 键时期，青少年无法从家庭中，从依恋对象——父母身 上得到认可，在争吵与冲突中，逐渐感受到“我做什么 都是错的，无论我说什么都是不对的”“无论我怎样 解 释 ，他 们 都 不 理 解 我 ”。长 久 之 后 ，伴 随 着 处 理 问 题 时 的 焦 虑 感 ，出 现 的 便 是 挫 折 心 理 。所 谓 挫 折 心 理 ，是 指个体在追求预定目标的过程中，遭遇源于内外部难 以 克 服( 或 自 认 为 无 法 克 服 )的 干 扰 、压 力 或 困 惑 ，使 其目标无法实现所产的消极心理状态和情绪反应。当 个 体 受困 于 现 实 自 我 ，而 无 法 实 现 理 想 自 我 时 ，便 会 感 到 受 挫 。现 实 自 我 是 指 生 活 中 的 真 实 自 我 ，理 想 自 我 包 括个体的追求以及期望的能力水平等，是一种理想中 的自我形象。青少年渴望能够为自己的想法辩解并得 到父母的认可，不希望得到亲密的人的负面评价与否 定，所以在亲自冲突中才会奋力反抗。但由于其自身思 维 水 平 ，遇 到 的 认 知 水 平 并 不 成 熟 ，常 常 自 相 矛 盾 ，最 后 表 现 为 “ 倔 强 ”“ 执 拗 ” 。 理 想 中 ， 青 少 年 渴 望 自 己 能 与大人一样成熟讲理，得到认可，而现实中得到的反馈 确是来自亲人的更多否定与自我怀疑，这样便出现了 现实自我与理想自我间的差距，产生了挫败感。 

"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
亲子信任危机的后果有哪些（孤独感）		"青春期是青少年发展的转折期，这一时期的心 理特征表现为多对矛盾的相互对立，也正是在克服 矛盾的过程中，青少年才得以建立起自我同一性。而 在诸多矛盾中典型之一便是“闭锁心扉”对“开放内 心 ”。具 体 到 亲 子 相 处 过 程 中 ，表 现 在 ，青 少 年 渴 望 倾 诉，希望能够得到身边人的信赖，将自己的苦恼与其 分享，但是却又不想敞开心扉，强烈的自我独特性意 识使其认为自己的想法是那样唯一，以至于他人根本 无法完全理解，并且也认为寻求帮助是自己无力的表 现。当频繁与父母交流、沟通甚至在争吵冲突中，无法 得到认同，甚至得到恶语否定，怀疑父母是否真的能 够 理 解 自 己 ，亲 子 间 信 任 出 现 裂 痕 ，在 产 生 焦 虑 心 理 、 挫折心理后，不免会更加闭锁心扉:与其告诉父母自己想法，或者为自己辩解还要挨打挨骂，倒不如什么 都不讲，反正也没有人理解我。这样便导致了深深的 孤独感。当个体无法在亲密关系中或者支持，其归属 与爱的需要便无法被满足，进而也会影响其社会行 为 的 方 方 面 面 。 具 体 到 青 少 年 身 上 表 现 为 “ 自 闭 ”“ 抑 郁 ”“ 攻 击 性 行 为 ” 等 。 

"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
高三学生的身心发展有什么特点	高三学生的心理特点有哪些	"三学生的心理特点主要有：一、社会意识更成熟，逐渐形成属于自己独特的人生观和价值观，对社会现实问题有自身独立见解。开始考虑个人前途的问题，因此他们做事不再盲目性，更有计划性，学习带有更强的目标——考上理想大学或理想专业。二、升学愿望更强烈，情绪上的思想压力和心理上的波动都会较为突出，紧张、焦虑会成为困扰其情绪的主要问题。为了成绩，有些学生急于求成，当考试成绩和自己的理想愿望产生矛盾时，便产生焦虑、浮躁的心理情绪，随之带来的是一系列的生理和心理上的问题。一次考试的失败可能会让其意志消沉，丧失学习的积极性。三、自我意识更增强，心理和思维上都具有更强的独立性。他们觉得学习是自己的事情，自己能很好地处理。他们不愿意家长和老师太多干涉自己的学习。存在一部分学生具备保守的心态，学习竞争激烈，害怕别超过自己，不愿意帮助他人，有了疑问也不问别人。
"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
促进亲子关系的方法有哪些？（社交APP)		"当前社会，科技日新月异，随着众多社交 App 的流行，人们的沟通方式变得越来越便利及活泼，比如 QQ、微信、微博等。多种 APP 产品的功能可实现社会关系链整合、语音聊天、朋友圈、图片分享、兴趣分类等，通过社交 App 的多媒体互动关系，可以呈现呈现情绪表达、爱好分享、关系、价值观、信息知识等主要内容。高三学生的时间尤其宝贵及有限，特别是住宿生，每周一至周五在校学习，周末大部分需要一天或一天半的时间用于补习，真正与父母面对面相处的时间极为有限，而且有的家长与子女间由于缺乏沟通的基础，即使有时间也会出现“尬聊”的状态，而基于社交软件，则大大缩短了亲子互动关系的距离上形成的疏离感，提升交流的亲密感，同时也具有很大的便利性。社交 APP 的亲子互动可以是对线下亲子互动的良好延续，也是进一步的深入互动。通过 App 平台，子女能够真正了解到父母的价值观、社会观，了解到父母对待事物的真实态度，父母也可以通过 App 表达自己真实的情感，以及对孩子的关注。从而加强双方的互动联系。父母能够更快速的掌握孩子的情绪波动，并加以适当的影响，具有其时效性。这对于父母本身的行为及沟通方式也是一个很大的考验，父母需要投入适当的时间通过 App 建立长久持续的关注，让亲子关系不断升温。这样充分的利用了社交平台的便利性，减少了亲子间的距离感，有利于建立亲子亲密关系。
"	"[1]冯小航.青春期亲子信任危机成因及对策[J].科技资讯,2021,19(13):252-256.
"
暴力是否能解决亲子矛盾的问题？	亲子矛盾能使用暴力去解决吗？	“非暴力沟通”是美国威斯康星大学临床心理学博士、国际非暴力沟通中心创始人马歇尔·卢 森堡博士发现的一种沟通方式，包括四要素:描叙观察、表达感受、体会需求、提出请求。依照 这种方法来谈话和聆听，既能诚实、清晰地表达自己的意愿，又能尊重他人。在病区，我们经常 运用“非暴力沟通”方式帮助孩子消除不良情绪，指导父母和孩子建立和谐的亲子关系。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
是什么原因导致了孩子的心理崩溃？	孩子心理崩溃背后的原因是什么？	坐在沙发上后，她开始向我哭诉来自学业上的压力，和同学之间的矛盾，以及因学习成绩不 理想而受到的父母的指责和嘲讽。这次，她想融入同学们的“汉服圈”，买一件汉服，但妈妈不 仅不同意，还讽刺她说:“学习不好，穿得再好看也没用!”正是这句话让她情绪彻底崩溃，做出极端行为。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
亲子矛盾爆发之后可能的后果是什么？	亲子矛盾爆发会带来什么样的结果？	此时患者小 A 正坐在窗台上，双手用力地掰着玻璃框，泪珠从血红的眼眶里渗出，滑过脸庞 与袖口上的鲜血融在一起，情绪十分激动。她歇斯底里地喊着:“你们都滚开，别管我，让我去 死……”母亲在一旁紧紧拽着她的双手，朝她喊道:“你就是被奶奶惯坏了，那衣服有什么好看 的?非要买!说不了几句就发脾气……”母子俩的争吵声响彻整个病房，引起许多家属围观。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
怎样能避免因为过激的情绪而做出的不正当行为？	在过于激动的情绪下，如何让自己冷静下来，避免进一步矛盾严重化？	说完以后，她的情绪逐渐平静下来。随后我告诉她，自己才是情绪的主人，一套叫“威廉姆 斯生活技能训练”的认知行为治疗体系能帮助她。我先指导她通过记日志的方法来觉察自己的情 绪，在做决定之前先问自己四个问题:“重要吗?”“值得吗?”“恰当吗?”“可以改变吗?”这 四个问题只要有一个是否定的，就需要改变自己的想法和情绪。同时表示会和她的父母沟通，尽 最大努力帮助她们改善亲子关系。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
为何世界上会有那么多亲子关系的矛盾发生？原因是什么？	究其原因，到底是什么导致了许多亲子矛盾的发生？	看着她拿着我给她的情绪觉察日志表在记录，我走出了房间，内心沉重。当孩子遇到问题时， 最需要的就是父母的关心和帮助，可很多父母会无视孩子的感受和需求，坚持自己的想法，通过 诸如“你怎么这么不听话?”“你一点都不顾及我的感受!”“你看别人家的孩子……”等之类含有 批评、指责意义以及与人比较的话术去跟孩子沟通。这非但无法帮助孩子脱离困境，还会加剧孩 子的反感，引发他们的抗拒行为。这也正是我一直坚持使用和推广“非暴力沟通”的原因。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
非暴力沟通是怎样被用于解决亲子矛盾的？	非暴力沟通是什么，有什么用处吗？	“非暴力沟通”是美国威斯康星大学临床心理学博士、国际非暴力沟通中心创始人马歇尔·卢 森堡博士发现的一种沟通方式，包括四要素:描叙观察、表达感受、体会需求、提出请求。依照 这种方法来谈话和聆听，既能诚实、清晰地表达自己的意愿，又能尊重他人。在病区，我们经常 运用“非暴力沟通”方式帮助孩子消除不良情绪，指导父母和孩子建立和谐的亲子关系。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
当孩子已经有许多压力时，父母的指责是否会对孩子造成二次伤害？	父母的言语指责会给孩子带来怎样的伤害？	坐在沙发上后，她开始向我哭诉来自学业上的压力，和同学之间的矛盾，以及因学习成绩不 理想而受到的父母的指责和嘲讽。这次，她想融入同学们的“汉服圈”，买一件汉服，但妈妈不 仅不同意，还讽刺她说:“学习不好，穿得再好看也没用!”正是这句话让她情绪彻底崩溃，做出极端行为。 	李曉娟. 非暴力溝通：架起親子溝通“彩虹橋”[N]. 健康報. 2021-06-01 (006).
大学生中，亲子关系之间矛盾的发生率是多少？	在大学生中，亲子间发生矛盾的可能性是多少？	结果显示，公共卫生事件期间大学生或多或少都会与 父母发生矛盾，其中，偶尔发生矛盾占 46.13%，很少发 生矛盾占 28.39%，经常发生矛盾占 20.97%，有过较严重 的矛盾占 4.52%。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
在亲子矛盾发生后，孩子一般会找谁倾诉？	如果发生，孩子会找家里人倾诉亲子矛盾吗？	"问卷显示，当问及“学生更倾向于和父母哪一方进 行倾诉”时，回答母亲的占 51.61%，双方都可以的占 33.55%，双方都不可以的占 9.03%，父亲的仅占 5.81%。 可以看出 , 大学生与父母沟通更倾向于母亲或者父母双方， 单独与父亲沟通的人数较少。 "	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
亲子之间的沟通障碍是什么？	是什么导致了亲子之间沟通有障碍？	结果得知，亲子沟通时存在主要矛盾包括 :聊天步调 不一致(39.35%)、性格冲突(39.03%)、三观不同(32.26%)、 各执己见(31.29%)、父母过于专制(24.19%)等。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
大学生认为亲子矛盾存在的原因？	在大学生眼里是什么原因导致了亲子矛盾？	由结果可知，有 31.29% 的大学生认为他们对父母的 说话态度有待改善，30.32% 的大学生认为他们对父母说话 语气较差，有 16.77% 大学生认为他们说话措辞需要改正， 有 9.03% 大学生认为与父母沟通内容准备不足。	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
大学生认为亲子矛盾的解决方法是什么？	大学生是如何解决亲子矛盾的？	问卷中，当问及“大学生与父母发生矛盾时的解决办法” 时，回答放弃沟通、沉默不言的占 36.45%，强烈与父母进 行争论的占 29.03%，尽自己的努力真诚沟通、争取达成共 识的占 27.74%，寻求他人进行调的解占 24.52%，表面上同意父母说法的占 23.55%，自己主动让步、放弃争论的占 23.23%，尝试说服父母的占 17.1%，其他占 16.13%。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
大学生与家长的矛盾是什么原因？	大学生的亲子矛盾的客观原因是什么？	公共卫生事件期间，亲子沟通以家庭为中心，内容单一枯燥 ;居家网课学习占用时间较多、亲子思想观念差异 较大、沟通效率低、男女生性格的差异等使得亲子沟通时 间得不到保障，沟通频率减弱。大学生正处在人生的特殊 阶段，慢慢的由幼稚走向成熟，他们有着强烈的独立意识， 他们渴望得到成人式的信任和尊重，因此，很多大学生在 这个阶段与父母关系有或多或少的紧张。学生在校学习生 活很大程度上缓解了这种紧张关系，受公共卫生事件影响 学生居家时间增加，与父母朝夕相处，造成了亲子关系的 矛盾激化。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
针对大学生亲子矛盾的改善方法是什么？	哪些方法能改善大学生的亲子矛盾？	大部分学生因为父母的交流方式或是教育方 法的不得当对父母存在不满，甚至抱怨情绪，通过人际互 动 PAC 理论，能够了解父母和子女的沟通状态，可以帮 助我们分析亲子沟通中成功或者失败的原因。父母和子女 应该科学有效地改变亲子沟通状态，营造一种尊重和友善 的亲子沟通氛围。大学生居家期间还会出现一些恐慌、焦 虑、压抑、失落等不良情绪，在他们渴望父母给予他们安 慰的同时却得不到他们的回应，这就导致他们与父母之间 的隔阂越来越大，影响沟通。研究发现，大学生与父母缺 少沟通或缺乏沟通的主动性。这种高智商低情商的行为， 很容易让学生没有人情味，失去人与人沟通的能力，让人 在无意间产生隔阂，甚至还有不必要的摩擦。每对父母对 孩子的教育方式各有不同，有的属于松弛有度的教育方式， 有的属于管教严谨类型的，对于孩子来讲，他们会产生逆 反心理，更不利于父母双方之间的交流。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
父母如何避免让学生和自己产生亲子矛盾？	父母应该怎样做才能避免亲子矛盾的产生？	由于手机及互联网其他形式的存在，亲子之间互动大 大减少，父母也要转变教育思想观念，多与子女沟通，给 孩子一定的空间，避免“暴力”沟通，让彼此更加了解增 进感情，珍惜与家人在一起的时光。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
学校在亲子关系中怎么样才能帮助解决矛盾？	对于学生的亲子矛盾，学校能做些什么？	学校方面，应开设相应的心理辅导帮助，帮助大学生 在烦躁不安，容易暴躁失控的情况下，调节自己的心理状 态，改变自己的行为，开导学生敞开自己的心扉，学会尝 试着去和父母沟通交流，谈一谈内心最真实的想法;开设心理素质教育课程，伦理道德课程，注重培养学生的共情 能力，提升学生自身的思想道德素质。 	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
学生如何避免让自己和家长产生亲子矛盾？	学生应该怎样做才能避免亲子矛盾的产生？	提升自我素养。首先要学会控制自己的情绪，在这个 非常的时期，活动的范围很小，有烦躁郁闷的心情也是正 常可以理解的，要平和地对待这些负面情绪，正确调节， 转移注意力，做自己感兴趣的事情，或者找寻外界帮助， 做到心平气和 ;其次要学会与父母主动沟通，大学生要学 会和父母交流，多沟通熟悉彼此，站在对方角度思考问题， 注重事实根据和善于进行客观理智的分析，与父母像朋友 一样说一说自己的心里话，根据实际情况共同分析做出决 定。此期间也是一个缓和父母与大学生亲子关系的好机会， 父母在之前是忙碌的，很少能一直在家中陪伴子女，要抓 住机会，让自己与父母更进一步，大学生要尊重理解父母， 当双方发生意见分歧时，先冷静，再解决问题 ;最后还要 充实自己，认真学习，做到自省自立，主动承担家务，做 自己力所能及的事情，锻炼自身的能力，提高自身素养， 建立和谐的亲子社会关系，促进大学生身心健康发展。	"大学生亲子关系调查与对策分析[J]. 张若冰,曹海腾,李雪萌,胡志强,叶建亚.  家庭生活指南. 2021(06)"
